A1,A2,A3,A4,A5,C1,C2,C3,C4,C5,JP1,JP2,JP3,JP4,JP5,gender,education,age
12,4,3,4,4,2,3,3,4,4,3,3,3,4,4,1,NA,36
12,4,5,2,5,5,4,4,3,4,1,1,6,4,3,2,NA,38
12,4,5,4,4,4,5,4,2,5,2,4,4,4,5,2,NA,37
12,4,6,5,5,4,4,3,5,5,5,3,4,4,4,2,NA,37
12,3,3,4,5,4,4,5,3,2,2,2,5,4,5,1,NA,37
12,6,5,6,5,6,6,6,1,3,2,1,6,5,6,2,3,41
2,5,5,3,5,5,4,4,2,3,4,3,4,5,5,1,NA,38
4,3,1,5,1,3,2,4,2,4,3,6,4,2,1,1,2,39
4,3,6,3,3,6,6,3,4,5,5,3,NA,4,3,1,1,39
2,5,6,6,5,6,5,6,2,1,2,2,4,5,5,2,NA,37
4,4,5,6,5,4,3,5,3,2,1,3,2,5,4,1,1,41
2,5,5,5,5,5,4,5,4,5,3,3,4,5,4,1,NA,36
5,5,5,6,4,5,4,3,2,2,3,3,3,2,4,2,NA,36
5,5,5,6,6,4,4,4,2,1,2,2,4,6,5,1,NA,36
4,5,2,2,1,5,5,5,2,2,3,4,3,6,5,1,1,37
4,3,6,6,3,5,5,5,3,5,1,1,6,6,4,1,NA,37
4,6,6,2,5,4,4,4,4,4,1,2,5,5,5,2,NA,37
5,5,5,4,5,5,5,5,4,3,2,2,4,6,6,1,NA,37
4,4,5,4,3,5,4,5,4,6,1,2,4,5,5,2,NA,36
4,4,6,5,5,1,1,1,5,6,1,1,4,5,6,2,NA,37
5,4,2,1,2,4,6,5,5,4,3,3,5,5,4,1,NA,37
1,6,6,1,5,5,4,4,2,3,1,2,4,3,4,2,NA,37
1,5,6,5,6,4,3,2,4,5,2,1,2,5,2,1,5,88
2,6,5,6,5,3,5,6,3,6,2,2,4,6,6,2,2,47
4,5,5,6,5,5,5,4,1,1,3,2,5,5,6,1,1,38
1,6,6,1,6,5,2,5,1,1,1,1,6,6,6,2,3,40
2,4,4,4,3,6,5,6,1,1,2,4,4,2,6,2,5,71
2,5,6,6,6,4,5,4,3,4,1,2,6,6,6,2,NA,34
2,5,1,3,5,5,4,5,2,5,1,2,6,5,4,2,3,53
4,5,6,5,5,5,5,3,5,4,1,2,6,5,5,2,3,38
1,6,5,6,3,5,5,5,4,3,2,5,1,5,3,2,NA,37
2,5,6,6,6,5,5,5,2,4,1,2,4,5,5,2,3,61
1,5,6,5,4,1,5,6,4,6,6,6,2,1,1,1,5,43
2,4,5,6,5,4,6,4,2,4,2,2,3,5,3,2,NA,37
